"","parcelid","bathroomcnt","bedroomcnt","calculatedbathnbr","calculatedfinishedsquarefeet","finishedsquarefeet12","fips","fullbathcnt","latitude","longitude","lotsizesquarefeet","propertycountylandusecode","propertylandusetypeid","rawcensustractandblock","regionidcity","regionidcounty","regionidzip","roomcnt","yearbuilt","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount"
"1660330",12867858,2,3,2,1545,1545,6037,2,34104426,-117733497,7035,"0100",261,60374019.024008,30908,3101,96469,0,1953,39657,230780,2015,191123,3112.1
"413838",14330835,2,4,2,1889,1889,6059,2,33739995,-117812884,7211,"122",261,60590755.073001,27491,1286,97016,8,1962,109683,539900,2015,430217,6337.98
"2561979",11665665,1,1,1,593,593,6037,1,34044800,-118553000,289806,"010C",266,60372626.043019,12447,3101,96120,0,1987,77157,109899,2015,32742,3779.99
"1349631",14055306,1.5,2,1.5,960,960,6059,1,33673943,-117956433,640,"122",261,60590992.151014,25218,1286,96964,4,1963,36388,60420,2015,24032,1005.18
"1327412",11466919,2,2,2,1050,1050,6037,2,33957800,-118434000,177096,"010E",266,60372766.042001,12447,3101,96129,0,1971,89000,407000,2015,318000,5594.31
"68186",12745822,1,3,1,1052,1052,6037,1,33908201,-118097870,5489,"0100",261,60375520.012004,53636,3101,96193,0,1950,105070,265416,2015,160346,3614.96
"2492210",12811688,2,2,2,1485,1485,6037,2,34031404,-117995849,43090,"0100",261,60374083.031018,113576,3101,96490,0,1969,139493,272346,2015,132853,3420.89
"1214775",13086559,2,4,2,1629,1629,6037,2,34021664,-117892341,5169,"0100",261,60374081.341013,14542,3101,96525,0,1977,179444,373101,2015,193657,6342.17
"1467256",13007501,1,3,1,1903,1903,6037,1,34104196,-118052426,7382,"0100",261,60374320.004009,14111,3101,96517,0,1936,61275,88996,2015,27721,1368.41
"428466",14262477,2,3,2,1301,1301,6059,2,33724562,-117892194,6020,"122",261,60590741.021006,47568,1286,97004,6,1976,131452,244259,2015,112807,3112.78
"144577",13961703,2,3,2,1459,1459,6059,2,33745241,-117797668,7915,"122",261,60590756.032004,40081,1286,97005,6,1961,73620,473234,2015,399614,5611.38
